"1boy","1男孩"
"indonesian commentary","印度尼西亚评论"
"indonesian text","印度尼西亚文"
"indoors","室内"
"indosou","印多苏"
"indra (arknights)","因陀罗（方舟）"
"industrial","工业"
"industrial piercing","工业穿孔"
"industrial pipe","工业管"
"ines fujin (umamusume)","ines fujin (umamusume)"
"infection monitor (arknights)","感染监测器 (arknights)"
"infernape","地狱火"
"infi","无限"
"infinite stratos","无限层数"
"infinity","无穷大"
"infinote","无限"
"infirmary","医务室"
"inflatable armbands","充气臂章"
"inflatable dolphin","充气海豚"
"inflatable orca","充气逆戟鲸"
"inflatable raft","充气筏"
"inflatable shark","充气鲨鱼"
"inflatable toy","充气玩具"
"inflatable whale","充气鲸鱼"
"inflation","通货膨胀"
"infraton","红外线"
"infukun","仁福坤"
"ingo (pokemon)","英戈（口袋妖怪）"
"ingrid (capcom)","英格丽德 (capcom)"
"ingrid (taimanin murasaki)","英格丽德 (taimanin murasaki)"
"ingrid brandl galatea","英格丽·布兰德·加拉蒂亚"
"inhabituels","居住者"
"inhabituels estudios","inhabituels estudios"
"inhye","仁惠"
"ini (inunabe00)","ini (inunabe00)"
"ini (mocomocccos)","ini (mocomocccos)"
"inia sestina","inia 塞斯蒂纳"
"inigo (fire emblem)","inigo（火徽）"
"inika","伊妮卡"
"ininiro shimuro","ininiro 志室"
"inishie","西西"
"inishie kumo","冰雪云"
"initial d","初始 d"
"injection","注射"
"injury","受伤"
"ink","墨水"
"ink (medium)","墨水（中）"
"ink bottle","墨水瓶"
"ink stamp","墨水印章"
"ink tank (splatoon)","墨水盒（喷射）"
"inkblot","墨迹"
"inkbrush (splatoon)","墨水笔（喷溅）"
"inkerton-kun","英克顿坤"
"inkey","墨水"
"inkling","暗示"
"inkling (language)","暗示（语言）"
"inkling girl","暗示 女孩"
"inktober","墨水"
"inkwell","墨水瓶"
"inline skates","直排轮滑鞋"
"inne sulistya robin","inne sulistya robin"
"inner moka","内摩卡"
"inner senshi","内师"
"innerboob","内布"
"innertube","内胎"
"innertube with ears","带耳朵的内胎"
"inniyik","因尼依克"
"innovators (gundam 00)","创新者（高达 00）"
"ino (magloid)","ino (magloid)"
"inohara masato","猪原正人"
"inokuma youko","猪熊洋子"
"inon","非农"
"inoshira","猪头"
"inoshishi (ikatomo)","inoshishi (ikatomo)"
"inou shin","井野新"
"inou-battle wa nichijou-kei no naka de","inou-battle wa nichijou-kei no naka de"
"inoue jun'ichi","井上纯一"
"inoue orihime","井上织姬"
"inoue seita","井上诚太"
"inoue sora","井上空"
"inoue takina","井上泷菜"
"inoue takuya","井上拓哉"
"inoue takuya (tactactak)","井上拓哉 (tactactak)"
"inre kemomimi","因雷克莫米米"
"insane black rock shooter","疯狂的黑岩射手"
"insect cage","昆虫笼"
"insect wings","昆虫翅膀"
"inset","插图"
"inside creature","内部生物"
"insignia","徽章"
"instagram","Instagram"
"instagram logo","Instagram 徽标"
"instagram username","Instagram 用户名"
"instant ip","即时IP"
"instant loss","瞬间损失"
"instant ramen","方便面"
"instrument","仪器"
"instrument case","仪器箱"
"instrument on back","仪器背面"
"insult","侮辱"
"integra hellsing","积分地狱"
"inteleon","英特尔"
"interface headset","接口耳机"
"interior","室内"
"interlocked fingers","十指相扣"
"interlocked mars and venus symbols","联锁的火星和金星符号"
"internal cumshot","内部 射液"
"internet","互联网"
"internet explorer","互联网浏览器"
"interracial","异族"
"interspecies","种间"
"interstellar","星际"
"intertwined tails","交织的尾巴"
"interview","采访"
"intestines","肠"
"intravaginal futanari","阴道内 futanari"
"intravenous drip","静脉滴注"
"intrepid (kancolle)","无畏 (kancolle)"
"inu (aerodog)","inu (aerodog)"
"inu (marukome)","犬（丸目）"
"inu (puputizy)","inu (puputizy)"
"inu sakuya (nejikirio)","犬咲也 (nejikirio)"
"inu x boku ss","inu x boku ss"
"inu3","犬3"
"inu777","inu777"
"inuarashi","犬岚"
"inubashiri momiji","犬走红叶"
"inubashiri momiji (wolf)","犬走红叶 (狼)"
"inubouzaki fuu","犬房崎风"
"inubouzaki itsuki","犬房崎五月"
"inuburo","犬鸣"
"inue shinsuke","井上信介"
"inuga anahoru","犬夜莺"
"inugami kira","犬神基良"
"inugami korone","犬神科隆"
"inugami-ke no ichizoku pose","犬神家一族姿势122"
"inui (jt1116)","伊努伊 (jt1116)"
"inui nagi","犬凪"
"inui nakiru","犬奈切鲁"
"inui sajuna","伊努伊萨朱纳"
"inui sanagi","犬野薙"
"inui shinju","犬井真寿"
"inui toko","犬井东光"
"inuinui","犬奴"
"inukai isuke","犬井伊助"
"inumaki toge","犬卷峠"
"inumi","稻米"
"inumori sayaka","猪森早香"
"inumoto","犬本"
"inumuta houka","犬田风花"
"inuno rakugaki","犬野乐垣"
"inunoko.","犬之子."
"inusaka","犬坂"
"inushima","犬岛"
"inuyama aoi","犬山葵"
"inuyama mana","犬山法力211"
"inuyama nanami","犬山七海"
"inuyama tamaki","犬山环"
"inuyasha","犬夜叉"
"inuyasha (character)","犬夜叉（角色）"
"inuzuka bouru","犬冢bouru"
"inuzuka kiba","犬冢木场"
"inuzumi masaki","犬沼正树"
"inverted bob","倒鲍勃"
"inverted colors","反转颜色"
"inverted cross","倒十字"
"inverted nipples","乳头内陷"
"invisible","隐形"
"invisible air (fate)","看不见的空气（命运）"
"invisible chair","隐形椅"
"invisible floor","隐形地板"
"invisible man","隐形人"
"invisible penis","隐形阴茎"
"invisible wall","看不见的墙"
"inward v","向内 v"
"inyucchi","因尤基"
"inyuppo","因尤波"
"inzup","inzup"
"io (code vein)","io（代码静脉）"
"io (granblue fantasy)","io（碧蓝幻想）"
"io (princess connect!)","io（公主连接！）"
"io (pso2)","io (pso2)"
"io (sinking=carousel)","io（下沉=旋转木马）"
"io naomichi","伊奥直道"
"io takuya","io拓哉"
"iogi (iogi k)","伊奥吉 (iogi k)"
"ion (cation)","离子（阳离子）"
"iona","爱奥那"
"iori (blue archive)","iori（蓝色档案）"
"iori (swimsuit) (blue archive)","iori (泳装) (蓝色档案)"
"iori junpei","伊织纯平"
"iori rinko","伊织临工"
"iori sei","八神清"
"iori shirou","伊织士郎"
"iosys","爱奥西"
"iowa (kancolle)","爱荷华州 (kancolle)"
"iowa (pacific)","爱荷华州（太平洋）"
"ip police tsuduki chan","ip 警察 tsuduki chan"
"ipad","ipad"
"iphone","苹果手机"
"ipod","iPod"
"ippers","皮尔斯"
"ippongui","本井"
"ippus","伊普斯"
"ips cells","IPS 细胞"
"ipuu (el-ane koubou)","ipuu (el-ane koubou)"
"ira (dokidoki! precure)","ira (dokidoki! precure)"
"irako (kancolle)","irako (kancolle)"
"ireading","阅读"
"irelia","艾瑞利亚"
"irene (arknights)","艾琳（方舟之夜）"
"irene (kanniiepan)","艾琳 (kanniiepan)"
"irezumi","伊雷祖米"
"iri flina","伊里弗利纳"
"iriam","伊拉姆"
"irida (pokemon)","irida (口袋妖怪)"
"iridescent","彩虹色"
"irie miyuki","入江美雪"
"iris (asteroid ill)","虹膜（小行星病）"
"iris (flower)","鸢尾花（花）"
"iris (konosuba)","鸢尾花 (konosuba)"
"iris (mega man)","虹膜（巨人）"
"iris (pokemon)","虹膜（口袋妖怪）"
"iris (takunomi)","鸢尾花 (takunomi)"
"iris amicitia","鸢尾花"
"iris anemone","虹膜海葵"
"iris black games","虹膜黑色游戏"
"iris heart","虹膜心"
"iris mysteria!","虹膜之谜！"
"iris yuma","鸢尾花"
"irisu fuyumi","入栖冬美"
"irisu kyouko","入栖杏子"
"irisu shoukougun!","irisu shoukougun!"
"irisviel von einzbern","爱丽丝菲尔·冯·艾因茨贝恩"
"irisviel von einzbern (angel's song)","irisviel von einzbern（天使之歌）"
"irisviel von einzbern (caster)","irisviel von einzbern (施法者)"
"irizaki mei","入崎美"
"irma","厄玛"
"iro ame (amewaagada)","iro ame (amewaagada)"
"irodori (irotoridori)","色鸟 (irotoridori)"
"iroha (blue archive)","iroha（蓝色档案）"
"iroha (iroha matsurika)","iroha (iroha matsurika)"
"iroha (samurai spirits)","iroha（武士精神）"
"iroha (shiki)","iroha (shiki)"
"irohakaede","126"
"irohara","色原"
"irohara mitabi","irohara mitabi"
"irohasu (sasagarasu)","irohasu（笹鹭）"
"iroiro yaru hito","iroiro yaru hito"
"irokari","伊罗卡里"
"iromeki overdrive","iromeki 超速行驶"
"iron blood (emblem)","铁血（徽章）"
"iron cross","铁十字"
"iron man","钢铁侠378"
"iron princess ymir","铁公主 ymir"
"iron saga","铁传奇"
"iron tager","铁塔格"
"ironmouse","铁鼠"
"irono (irtyu)","铁罗 (irtyu)"
"ironwork","铁制品"
"irony","讽刺"
"irori","伊罗里"
"irotoridori no sekai","irotoridori no sekai"
"irotsuya","铁津屋"
"irouha","伊鲁哈"
"iroyopon","伊罗约彭"
"irrumatio","不规则"
"irua","伊鲁阿"
"irui guneden","irui guneden"
"iruma kamiri","入间神里"
"iruma miu","入间妙妙"
"irusu","伊鲁苏"
"irys (hololive)","鸢尾花（全息）"
"is (kamen rider 01)","是 (假面骑士 01)"
"is ii","是 ii"
"is that so","是这样吗"
"is-2","是-2"
"isa","伊萨"
"isa (peien516)","伊萨 (peien516)"
"isaac clarke","艾萨克·克拉克"
"isaac foster","艾萨克·福斯特"
"isabella valentine","伊莎贝拉情人节"
"isabelle (animal crossing)","伊莎贝尔（动物穿越）"
"isabelle (shadowverse)","伊莎贝尔（shadowverse）"
"isaki (gomi)","伊崎（五味）"
"isaki kaname","石崎要"
"isaki tanaka","田中崎"
"isamu-ki (yuuki)","勇树 (yuuki)"
"isao","伊索"
"isayama yomi","谏山读美"
"ise (0425)","伊势 (0425)"
"ise (kancolle)","伊势 (kancolle)"
"isedaichi ken","伊势田一健"
"isegawa yasutaka","伊势川康孝"
"isekai joucho","伊势海城长"
"isekai maou to shoukan shoujo no dorei majutsu","伊势海魔王到 shoukan shoujo no dorei majutsu"
"isekai ojisan","伊势海王子山"
"iseki (kuroshura no tabiji)","关 (kuroshura no tabiji)"
"isemagu","伊斯马古"
"iseya shiki","伊势谷式"
"ishibori eregomos","石堀eregomos"
"ishida akira","石田晃"
"ishida mia","石田美雅"
"ishida seito","石田诚藤"
"ishida to asakura","石田到朝仓"
"ishida umi","石田海"
"ishida uryuu","石田 uryuu"
"ishida yamato","石田大和"
"ishigaki (kancolle)","石垣 (kancolle)"
"ishigaki takashi","石垣隆"
"ishigami yuu","石上悠"
"ishihara masumi","石原真澄"
"ishihara saika","石原彩花"
"ishii akira","石井晃"
"ishii hisao","石井久男"
"ishikawa goemon xiii","石川五右卫门十三"
"ishikawa hideki","石川秀树"
"ishikawa luna","石川露娜"
"ishikei","石景"
"ishikei (style)","ishikei（风格）"
"ishikirimaru","石切丸"
"ishikkoro","ishikkoro"
"ishimari","石有"
"ishimaru kiyotaka","石丸清隆"
"ishimiso (ishimura)","石矶 (石村)"
"ishimu","石木"
"ishiusu","石臼"
"ishiyuki","石幸"
"ishiyumi","石由美"
"ishizu ishtar","石津伊斯塔"
"ishtar (fate)","伊斯塔（命运）"
"ishtar (fire emblem)","伊斯塔（火徽）"
"ishtar (swimsuit rider) (fate)","ishtar（泳装骑士）（命运）"
"ishuzoku reviewers","ishuzoku 评论家"
"isis (p&d)","伊斯兰国 (p&d)"
"iskandar (fate)","依斯干达 (命运)"
"isla (plastic memories)","isla（塑料记忆）"
"island","岛屿"
"island (kossori)","岛 (kossori)"
"island fox (kemono friends)","岛狐 (kemono 朋友)"
"isna (footprintsofisna)","isna (footprintsofisna)"
"isobe noriko","矶部纪子"
"isokaze (kancolle)","矶风 (kancolle)"
"isolated island oni","孤岛鬼"
"isolated island princess","孤岛公主"
"isometric","等轴测"
"isonami (kancolle)","矶波 (kancolle)"
"isopod","等足类动物"
"isou nagi","异凪"
"isse","问题"
"isshi pyuma","一石pyuma"
"isshiki (ffmania7)","一色 (ffmania7)"
"isshiki akane","一色茜"
"isshiki iroha","一色 iroha"
"isshiki momo","一色桃花"
"issho ni training","issho ni 培训"
"isshuukan friends","isshuukan 朋友"
"issun","伊森"
"istina (arknights)","伊斯蒂娜（方舟之夜）"
"isu","伊苏"
"isu (is88)","伊苏 (is88)"
"isuka","伊苏卡"
"isuzu (kancolle)","五十铃 (kancolle)"
"isuzu (log horizon)","五十铃（原木地平线）"
"isuzu hana","五十铃花"
"isya","伊萨"
"it (stephen king)","它（斯蒂芬·金）"
"itachi kanade","itachi kanade"
"itachou","伊藤町"
"itaco","伊塔科"
"itadori yuuji","板取雄二"
"itai no wa iya nano de bougyoryoku ni kyokufuri shitai to omoimasu","itai no wa iya nano de bougyoryoku ni kyokufuri shitai to omoimasu"
"italia (kancolle)","意大利 (kancolle)"
"italian flag","意大利国旗"
"italian text","意大利语文本"
"italy","意大利"
"itamidome","itamidome"
"itamochi","板持"
"itano circus","板野马戏团"
"itasha","痛车"
"itatatata","塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔塔266"
"ito noizi","伊藤乃子"
"itohana","糸花"
"itoichi.","伊藤市."
"itolife","itolife"
"itomugi-kun","糸麦君 3424"
"itoshiki nozomu","itoshiki nozomu"
"itoshiki rin","伊藤纪凛"
"itou (mogura)","伊藤（mogura）"
"itou (onsoku tassha)","itou (onsoku tassha)"
"itou ayachi","伊藤绫地"
"itou chika","伊藤chika"
"itou eito","伊藤永藤"
"itou hachi","伊藤八"
"itou kaiji","伊藤会事"
"itou korosuke","伊藤浩介"
"itou nanami","伊藤七海"
"itou nobue","伊藤信"
"itou noemi","伊藤之美"
"itou ryuusei","伊藤龙星"
"itou shin'ichi","伊藤新一"
"itou tatsuya","伊东达也"
"itou yuuji","伊藤雄二"
"itsuka kotori","五香小鸟"
"itsuka shidou","五香士道142"
"itsuki kousuke","五木幸介"
"itsuki kuro","五木黑"
"itsuki sayaka","五树早香"
"itsuki tasuku","五木幸"
"itsukia","伊月佳"
"itsumi (itumiyuo)","五海 (itumiyuo)"
"itsumi erika","五海绘里香"
"itsumizu","五水"
"itsumo nokoru","itsumo nokoru"
"itsuwa","五和"
"ittla","伊特拉"
"itto (mentaiko)","itto (明太子)"
"ittoki otoya","一时音屋"
"ittokyu","伊东急"
"iumi urura","iumi urura"
"iuro","伊罗"
"iuui","iuui"
"iv stand","四站"
"iva (sena0119)","伊娃 (sena0119)"
"ivan karelin","伊万卡瑞林"
"ivy","常春藤"
"ivy (sparrowl)","常春藤（麻雀）"
"ivysaur","常春藤龙"
"iwado anna","岩户安娜"
"iwahana","岩花"
"iwai ryou","岩井亮"
"iwakura lain","岩仓莱恩"
"iwamoto eiri","岩本英里"
"iwamoto sora","岩本空"
"iwamoto zerogo","岩本零号"
"iwamushi","岩蒸144"
"iwanori","岩典"
"iwasaki minami","岩崎南"
"iwasaki takashi","岩崎隆"
"iwasama masami","岩间正美"
"iwashi dorobou -r-","石石dorobou -r-"
"iwatani naofumi","岩谷尚文"
"iwato kasumi","岩户霞"
"iwatobi high school uniform","岩飞高中校服"
"iwatobi hiro","岩飞浩"
"iwatooshi","岩头市"
"iwawa","岩和"
"iwbitu","伊比图"
"iws 2000 (girls' frontline)","iws 2000（女子前线）"
"ixima","伊西玛"
"ixmmxi","ixmmxi"
"ixy","ixy"
"iya na kao sare nagara opantsu misete moraitai","ya na kao sare nagara opantsu misete moratai"
"iyakun","亚坤"
"iyami","矢见"
"iyou","爱优"
"iz (asteroid ill)","iz（小行星病）"
"izanagi (persona 4)","izanagi（角色 4）"
"izanami (persona)","伊邪那美（角色）"
"izawa (bhive003)","伊泽 (bhive003)"
"izayoi (blazblue)","izayoi (blazblue)"
"izayoi aki","izayoi aki"
"izayoi liko","izayoi liko"
"izayoi miku","izayoi miku"
"izayoi no hanayome","izayoi的花嫁"
"izayoi sakuya","izayoi sakuya"
"izayoi sakuya (cosplay)","izayoi sakuya (cosplay)"
"izayoi seishin","izayoi seishin"
"izetta","伊泽塔"
"izmir","伊兹密尔"
"izra","伊兹拉"
"izuka daisuke","伊冢大辅"
"izumi (blue archive)","izumi（蓝色档案）"
"izumi (nagashi)","泉（流）"
"izumi (stardustalone)","泉（星尘）"
"izumi akane","泉茜"
"izumi ako","泉赤子"
"izumi kanata","金边泉"
"izumi konata","泉小田"
"izumi kouhei","泉光平"
"izumi koushirou","泉光四郎"
"izumi mahiru","泉真昼"
"izumi makoto","泉诚"
"izumi masamune","泉政宗"
"izumi masashi","泉正志"
"izumi mei","泉明"
"izumi minami","泉南"
"izumi noa","泉野亚"
"izumi rei","泉丽"
"izumi reina","泉丽奈"
"izumi sagiri","泉纱雾"
"izumi sai","泉斋"
"izumi tsubasu","泉翼"
"izumi yukiru","泉由纪208"
"izumi-no-kami kanesada","泉神兼定"
"izumiyuhina","泉由日奈"
"izumo","出云"
"izumo neru","出云 neru"
"izuna (blue archive)","izuna (蓝色档案)"
"izuna (gouma reifuden izuna)","izuna (gouma reifuden izuna)"
"izuna (shinrabanshou)","izuna (shinrabanshou)"
"izuoku","伊豆"
"izure (pixiv16392012)","izure (pixiv16392012)"
"izuru (timbermetal)","izuru（木材金属）"
"j adsen","?阿森"
"j yak47","牦牛47"
"j young","年轻人"
"j. league","j.联赛"
"j.h.","jh"
"j.k.","jk"
"j.moon","j.月亮"
"j7w","j7w"
"j@ck","j@ck"
"ja'far (magi)","贾法尔（魔法师）"
"jabami yumeko","jabami 梦子"
"jabara tornado","贾巴拉龙卷风"
"jabberwock (monster girl encyclopedia)","jabberwock（怪物女孩百科全书）"
"jabot","贾博特"
"jack (slaintheva)","杰克（slaintheva）"
"jack (wkm74959)","千斤顶 (wkm74959)"
"jack atlas","杰克地图集"
"jack daniel's","杰克丹尼尔的"
"jack dempa","杰克登帕"
"jack frost","杰克霜"
"jack the ripper (fate/apocrypha)","开膛手杰克（命运/伪经）"
"jack the ripper (fate/apocrypha) (cosplay)","开膛手杰克（命运/伪经）（角色扮演）"
"jack van burace","杰克范布拉斯"
"jack-o' challenge","千斤顶挑战"
"jack-o' valentine","杰克-o'情人节"
"jack-o'-lantern","南瓜灯"
"jack-o'-lantern earrings","南瓜灯耳环"
"jack-o'-lantern hair ornament","南瓜灯头饰"
"jack-o'-lantern ornament","南瓜灯装饰"
"jack-o'-lantern print","南瓜灯印花"
"jackal boy","豺狼男孩"
"jackal ears","豺狼耳朵"
"jackal tail","豺尾"
"jacket","夹克"
"jacket around waist","腰围夹克"
"jacket girl (dipp)","夹克女孩 (dipp)"
"jacket grab","夹克抓斗"
"jacket lift","夹克升降机"
"jacket on shoulders","肩部夹克"
"jacket over shoulder","单肩夹克"
"jacket over swimsuit","泳衣外套"
"jacket partially removed","夹克部分移除"
"jacket pull","夹克拉力"
"jacket removed","夹克被移除"
"jacket tug","夹克拖船"
"jaco","雅科"
"jacques de molay (foreigner) (fate)","雅克·德·莫莱（外国人）（命运）"
"jacy","杰西"
"jade curtiss","玉柯蒂斯"
"jade leech","玉水蛭"
"jadenkaiba","玉海马"
"jadf","杰夫"
"jaffar (fire emblem)","贾法尔（火徽）"
"jaga note","加加音符"
"jagabutter","果酱"
"jagaimo (kkamja)","贾盖莫 (kkamja)"
"jagd","jagd"
"jagdpanzer 38(t)","jagdpanzer 38(t)"
"jaggy lines","锯齿线"
"jaguar (kemono friends)","捷豹 (kemono 朋友)"
"jaguar boy","捷豹男孩"
"jaguar ears","美洲虎耳朵"
"jaguar girl","捷豹女孩"
"jaguar print","捷豹印花"
"jaguar tail","捷豹尾巴"
"jaguarman (fate)","美洲虎（命运）"
"jaho","杰霍"
"jahy","杰伊"
"jahy-sama wa kujikenai!","jahy-sama wa kujikenai!"
"jairou","斋柔"
"jajala","贾贾拉"
"jake the dog","杰克狗"
"jakelian","雅克莲"
"jakko","jakko"
"jako (jakoo21)","jako (jakoo21)"
"jako (toyprn)","jako (toyprn)"
"jakob (fire emblem)","雅各布（火徽）"
"jaku sono","jaku sono"
"jakuri (ar tonelico)","jakuri (ar tonelico)"
"jakuzure nonon","jakuzure nonon"
"jam","果酱"
"jam (nandade)","果酱（南达德）"
"jam-orbital","干扰轨道"
"jamadhar","贾玛达尔"
"james (pokemon)","詹姆斯（口袋妖怪）"
"james buchanan barnes","詹姆斯·布坎南·巴恩斯"
"jammers","干扰器"
"jampen","果酱"
"jan (lightdragoon)","一月（光龙）"
"jan azure","一月天蓝色"
"jane mere","简简单"
"jane t. godfrey","简吨。戈弗雷"
"janine (pokemon)","珍妮（宠物小精灵）"
"janis (hainegom)","贾尼斯（海尼根）"
"janna (league of legends)","珍娜（英雄联盟）"
"janne cherry","珍妮樱桃"
"janong","贾农"
"january","143 年 1 月"
"janus (kancolle)","janus (kancolle)"
"janyhero","杰尼英雄"
"japan","日本"
"japan (hetalia)","日本（黑塔利亚）"
"japan ground self-defense force","日本地面自卫队"
"japan maritime self-defense force","日本海上自卫队"
"japan racing association","日本赛车协会"
"japan self-defense force","日本自卫队"
"japanese armor","日本装甲"
"japanese black bear (kemono friends)","日本黑熊 (kemono 朋友)"
"japanese clothes","日本衣服"
"japanese crested ibis (kemono friends)","日本朱鹮 (kemono friends)"
"japanese cylindrical postbox","日本圆柱形邮筒"
"japanese flag","日本国旗"
"japanese otter (kemono friends)","日本水獭（kemono 朋友）"
"japanese postal mark","日本邮政马克"
"japanese tankery league (emblem)","日本油轮联盟（会徽）"
"japanese white-eye","日本白眼"
"japanese wolf (kemono friends)","日本狼 (kemono 朋友)"
"japari bun","加帕里面包"
"japari bus","加帕里巴士"
"japari symbol","加帕里符号"
"jar","罐子"
"jarvan iv (league of legends)","嘉文四世（英雄联盟）"
"jas","茉莉"
"jasdavi","贾斯达维"
"jashin-chan","jashin-chan"
"jashin-chan dropkick","jashin-chan dropkick"
"jasmine (disney)","茉莉花（迪士尼）"
"jasmine (pokemon)","茉莉花 (口袋妖怪)"
"jason (fate)","杰森（命运）"
"jason (kaiten kussaku kikou)","杰森 (kaiten kussaku kikou)"
"jason kim","杰森金"
"jason voorhees","杰森·沃里斯"
"jason voorhees (cosplay)","杰森·沃里斯（角色扮演）"
"jasony","杰森"
"jaune arc","黄褐色弧"
"javelin (azur lane)","标枪（碧蓝航线）"
"javelin (spear)","标枪（矛）"
"jaw drop","下巴下降"
"jaye (arknights)","杰伊（方舟之夜）"
"jazz jack","爵士杰克"
"jazztaki","爵士乐"
"jcm2","jcm2"
"jealous","嫉妒"
"jean (genshin impact)","牛仔（原神影响）"
"jean (gunnhildr's legacy) (genshin impact)","jean (gunnhildr 的遗产) (genshin Impact)"
"jean (sea breeze dandelion) (genshin impact)","jean (海风蒲公英) (genshin Impact)"
"jean bart (azur lane)","让·巴特（碧蓝航线）"
"jean kirchstein","让·基希斯坦"
"jean pierre polnareff","让·皮埃尔·波尔纳雷夫"
"jean roque lartigue","让·罗克·拉蒂格"
"jean-jacques leroy","让-雅克·勒罗伊"
"jeanex","珍妮克斯"
"jeanne (bayonetta)","珍妮（巴约内塔）"
"jeanne d'arc (azur lane)","jeanne d'arc（碧蓝航线）"
"jeanne d'arc (fate)","jeanne d'arc (命运)"
"jeanne d'arc (girl from orleans) (fate)","jeanne d'arc（来自奥尔良的女孩）（命运）"
"jeanne d'arc (granblue fantasy)","jeanne d'arc（碧蓝幻想）"
"jeanne d'arc (ruler) (fate)","jeanne d'arc (统治者) (命运)"
"jeanne d'arc (swimsuit archer) (fate)","jeanne d'arc (泳装弓箭手) (fate)"
"jeanne d'arc (swimsuit archer) (first ascension) (fate)","jeanne d'arc（泳装弓箭手）（第一次升天）（命运）"
"jeanne d'arc (swimsuit archer) (second ascension) (fate)","jeanne d'arc (泳装弓箭手) (第二次升天) (命运)"
"jeanne d'arc (third ascension) (fate)","jeanne d'arc（第三次提升）（命运）"
"jeanne d'arc alter (avenger) (fate)","jeanne d'arc alter (avenger) (fate)"
"jeanne d'arc alter (avenger) (first ascension) (fate)","jeanne d'arc alter (avenger) (first ascension) (fate)"
"jeanne d'arc alter (avenger) (third ascension) (fate)","jeanne d'arc alter (avenger) (third ascension) (fate)"
"jeanne d'arc alter (fate)","jeanne d'arc alter (fate)"
"jeanne d'arc alter (swimsuit berserker) (fate)","jeanne d'arc alter（泳装狂战士）（命运）"
"jeanne d'arc alter (ver. shinjuku 1999) (fate)","jeanne d'arc alter (ver. shinjuku 1999) (fate)"
"jeanne d'arc alter santa lily (fate)","jeanne d'arc alter santa lily (fate)"
"jeans","牛仔裤"
"jecht","杰赫特"
"jedah dohma","吉达多玛"
"jedi","绝地武士"
"jeep","吉普车"
"jeff andonuts","杰夫甜甜圈"
"jeffr","杰夫"
"jeffrey cruz","杰弗里克鲁兹"
"jehyun","哲贤"
"jekyll and hyde (fate)","杰基尔和海德（命运）"
"jellcaps","果冻胶囊"
"jellicent","果冻"
"jelly bean","果冻豆"
"jellyfish","水母"
"jellyfish (splatoon)","水母 (splatoon)"
"jellytits-7","jellytits-7"
"jema","杰玛"
"jeneral","一般"
"jenet behrn","珍妮特·贝恩"
"jenevan","杰尼万"
"jenga","积木"
"jennifer walters","珍妮弗·沃尔特斯"
"jenny (pokemon)","珍妮（宠物小精灵）"
"jenny wakeman","珍妮·韦克曼"
"jeno","耶诺"
"jenson tw","简森 tw"
"jeremiah gottwald","耶利米哥特瓦尔德"
"jerry can","杰瑞罐头"
"jersey","球衣"
"jervis (kancolle)","杰维斯 (kancolle)"
"jesse (pixiv34586727)","杰西 (pixiv34586727)"
"jessica (arknights)","杰西卡（方舟之夜）"
"jessica (granblue fantasy)","杰西卡（碧蓝幻想）"
"jessica albert","杰西卡·阿尔伯特"
"jessie (pokemon)","杰西（宠物小精灵）"
"jessie (pokemon) (cosplay)","杰西（口袋妖怪）（角色扮演）"
"jessie rasberry","杰西·拉斯伯里"
"jester","小丑"
"jester (dq3)","小丑 (dq3)"
"jester cap","小丑帽"
"jesus","耶稣"
"jet","喷气机"
"jet (pw3234)","喷气机 (pw3234)"
"jet black","墨黑色"
"jet engine","喷气发动机"
"jet set radio","喷气式收音机"
"jet ski","摩托艇"
"jet yowatari","喷气式飞机 yowatari"
"jeto (jetopyon)","杰托（jetopyon）"
"jetpack","喷气背包"
"jett (valorant)","杰特（勇敢）"
"jetto komusou","喷气机 komusou"
"jewel (the black canvas)","宝石（黑色帆布）"
"jewel butt plug","宝石对接插头"
"jeweled branch of hourai","宝来宝枝"
"jewelpet (series)","珠宝宠物（系列）"
"jewelpet twinkle","宝石闪烁"
"jewelry","首饰"
"jewelry bonney","珠宝邦尼"
"jewelry removed","珠宝被移除"
"jh","jh"
"ji dao ji","极道极"
"ji guang-hong","姬光红"
"ji no","吉460号"
"jiangshi","江市"
"jiangshi costume","江氏服饰"
"jianmo sl","剑魔sl"
"jianren","建人"
"jiao mao","焦毛"
"jiaozi","饺子"
"jibaku shounen hanako-kun","自爆少年花子君"
"jibanyan","吉板岩"
"jibril (no game no life)","jibril（没有游戏就没有生命）"
"jiffic","即刻"
"jigatei (omijin)","jigatei (omijin)"
"jigen (cookie)","次元（饼干）"
"jigen daisuke","次元大辅"
"jiggly girls","摇摆不定的女孩"
"jigglypuff","jigglypuff"
"jigoku sensei nube","地狱老师 nube"
"jigoku shoujo","地狱少女"
"jigsaw puzzle","拼图游戏"
"jiino","神野"
"jiji (aardvark)","jiji (土豚)"
"jiji (majo no takkyuubin)","jiji (majo no takkyuubin)"
"jikan sokougun","jikan sokougun"
"jikatarou","地太郎"
"jikihatiman","吉基哈提曼"
"jikkyou powerful pro yakyuu","jikkyou 强大的职业 yakyuu"
"jill 07km","吉尔 07km"
"jill stingray","吉尔黄貂鱼"
"jill valentine","吉尔情人节"
"jilpoong17","日丰17"
"jilu","吉鲁"
"jima","岛"
"jimiko","志美子"
"jimmy madomagi","吉米 madomagi"
